Doc,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20
1234,0.01,0.01,0.01,0.01,25.661299,0.01,0.01,13.441328,8.719311,0.01,0.01,0.01,0.01,6.218066,0.01,0.01,0.01,0.01,0.01,0.01
1235,0.01,0.01,0.01,0.01,49.607067,0.01,0.01,39.566193,0.01,0.01,0.01,0.01,0.01,579.832214,0.01,0.01,0.01,0.01,1.034967,0.01
1236,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,14.01,0.01,0.01,0.01,0.01,0.01,0.01
1237,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,6.077077,0.01,0.01,0.01,0.01,8.942924,0.01,0.01,0.01,0.01,0.01,0.01
1238,0.01,0.01,0.01,0.01,27.425001,0.01,0.01,26.594177,23.656052,0.01,0.01,0.01,0.01,1.794803,0.01,0.01,9.579968,0.01,0.01,1.009997
1239,0.01,0.01,6.99315,0.01,0.01,0.01,0.01,21.816259,0.01,0.01,0.01,0.01,0.01,2.22059,0.01,0.01,0.01,0.01,0.01,0.01
1240,0.01,0.01,0.01,0.01,47.93885,0.01,0.01,13.984146,19.048044,0.01,0.01,102.915337,0.01,31.164265,0.01,0.01,0.01,2.009369,0.01,0.01
1241,0.01,0.01,0.01,0.01,23.405327,0.01,0.01,16.394705,38.229958,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1242,0.01,0.01,0.01,0.01,14.93102,0.01,0.01,10.686518,3.563287,0.01,0.01,0.01,0.01,3.879105,0.99007,0.01,0.01,0.01,0.01,0.01
1243,0.01,0.01,0.01,0.01,0.01,0.01,0.01,46.893719,0.01,0.01,0.01,2.126286,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1244,0.01,0.01,0.01,0.01,10.769146,0.01,0.01,5.980041,0.01,0.01,1.280813,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1245,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.989286,0.01,0.01,2.733418,0.01,20.307297,0.01,0.01,0.01,0.01,0.01,0.01
1246,0.01,0.01,0.01,0.01,6.226121,0.01,0.01,0.01,4.810253,0.01,0.01,8.693266,0.01,5.593393,0.01,0.01,0.01,0.01,3.726967,0.01
1247,0.01,0.01,2.010025,0.01,4.693874,0.01,0.01,20.264347,0.01,0.01,0.01,1.071758,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1248,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,5.480508,0.01,0.01,3.539492,0.01,0.01,0.01
1249,0.01,0.01,0.01,0.01,20.087563,0.01,0.01,4.932439,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1250,0.01,0.01,0.01,0.01,28.736303,0.01,0.01,34.149197,8.895419,0.01,0.01,8.259074,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1251,0.01,0.01,5.957967,0.01,0.01,0.01,0.01,28.817648,0.01,0.01,0.01,0.01,0.01,3.254389,0.01,0.01,0.01,0.01,0.01,0.01
1252,0.01,0.01,0.01,0.01,12.262038,0.01,0.01,0.01,0.01,0.01,3.757962,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
